,name,rating,reviews,type,hq,Average Salary,Latitude,Longitude
420,Uflex,3.8,(1.2k Reviews),Public,"Noida,Uttar Pradesh ",4000,28.533420000000035,77.38190000000003
421,Tata Play,4.2,(1.1k Reviews),Public,"Mumbai,Maharashtra ",4000,18.940170000000023,72.83489000000003
422,Metro,4.2,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka ",3000,12.966180000000065,77.58690000000007
423,Ninjacart,3.7,(1.1k Reviews),Private,"Bangalore,Karnataka ",4000,12.966180000000065,77.58690000000007
424,Aircel,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana ",1000,28.477180000000033,77.06857000000008
425,WABCO,4.0,(1.1k Reviews),Public,Berne ,4000,46.94843000000003,7.44046000000003
426,MSN Laboratories,4.0,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana ",4000,17.442620000000034,78.50195000000008
427,Foxconn,4.1,(1.1k Reviews),Private,Taipei ,6000,25.037370000000067,121.56355000000008
428,Fujitsu,4.1,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka ",10000,12.966180000000065,77.58690000000007
429,AECOM,4.2,(1.1k Reviews),Private,Dallas ,4000,32.77822000000003,-96.79511999999994
430,Aavas Financiers...,4.0,(1.1k Reviews),Public,"Jaipur,Rajasthan ",4000,26.925890000000038,75.80676000000005
431,Vardhman Fabrics,4.1,(1.2k Reviews),Baddi + 51 more,10k-50k Employees (India),4000,29.672660000000064,75.56749000000008
432,Bharat Financial...,4.2,(1.1k Reviews),Public,Hyderabad ,3000,17.394880000000057,78.47075000000007
433,Cisco,4.4,(1.2k Reviews),Public,"San Jose,California ",13000,37.33865000000003,-121.88541999999995
434,Akums Drugs & Ph...,4.0,(1.4k Reviews),Private,"Delhi/NCR,New Delhi ",4000,28.63095000000004,77.21721000000008
435,Canara HSBC Life...,3.8,(1k Reviews),Government,"Gurgaon/Gurugram,Haryana ",6000,28.477180000000033,77.06857000000008
436,SGS,4.0,(1k Reviews),Private,"Geneva,Geneva ",4000,46.208330000000046,6.142750000000035
437,Reckitt Benckise...,4.1,(1k Reviews),Private,"Slough,Slough ",4000,51.50885828000003,-0.5929407609999657
438,S&P Global,4.3,(1.1k Reviews),Public,"New York City,New York ",8000,40.71455000000003,-74.00713999999994
439,ElasticRun,3.8,(1k Reviews),Private,"Pune,Maharashtra ",4000,18.504210000000057,73.85286000000008
440,Dell EMC,4.2,(1.1k Reviews),Private,Hopkinton ,10000,41.490410000000054,-71.78059999999994
441,ITC Hotels,4.0,(1.1k Reviews),Public,"Kolkata,West Bengal ",4000,22.57059000000004,88.37133000000006
442,Sify Technologie...,4.0,(1k Reviews),Private,"Chennai,Tamil Nadu ",7000,13.083750000000066,80.28256000000005
